"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","시군구코드","시군구명","읍면동코드","읍면동명","지하철역코드","지하철역명"
"NODE","POINT(127.01587272865775 37.57169713324989)","99451","1","1111000000","종로구","1111017500","숭인동","268","동묘앞"
"NODE","POINT(127.01520097725069 37.5727631714696)","160668","1","1111000000","종로구","1111017400","창신동","268","동묘앞"
"NODE","POINT(126.99215227845464 37.57106843929747)","135627","1","1111000000","종로구","1111015100","묘동","265","종로3가"
"NODE","POINT(126.99186553544038 37.5705742122576)","135668","1","1111000000","종로구","1111015600","종로3가","265","종로3가"
"NODE","POINT(127.01550585346979 37.573234568417995)","159685","1","1111000000","종로구","1111017400","창신동","268","동묘앞"
"NODE","POINT(127.00008065138539 37.57103575444844)","211765","1","1111000000","종로구","1111016100","종로4가","266","종로5가"
"NODE","POINT(127.01619593666405 37.57330084304634)","159705","1","1111000000","종로구","1111017500","숭인동","268","동묘앞"
"NODE","POINT(126.99104038125857 37.572655707708435)","135567","1","1111000000","종로구","1111015300","돈의동","265","종로3가"
"NODE","POINT(127.01546995294608 37.579924238231975)","167346","1","1111000000","종로구","1111017500","숭인동","270","창신"
"NODE","POINT(127.00062457346921 37.57083444225304)","211610","1","1111000000","종로구","1111016300","종로5가","266","종로5가"
"NODE","POINT(127.01602335654462 37.57300793512578)","159707","1","1111000000","종로구","1111017500","숭인동","268","동묘앞"
"NODE","POINT(126.99185052385326 37.572669886627445)","137497","1","1111000000","종로구","1111015100","묘동","265","종로3가"
"NODE","POINT(126.9910817909188 37.572526275551105)","135572","1","1111000000","종로구","1111015300","돈의동","265","종로3가"
"NODE","POINT(126.98432527401249 37.57005319781874)","211943","1","1111000000","종로구","1111013800","종로2가","273","종각"
"NODE","POINT(127.01219046837087 37.57213417569109)","160421","1","1111000000","종로구","1111017400","창신동","272","동대문"
"NODE","POINT(126.98885283301232 37.57245082068118)","211639","1","1111000000","종로구","1111013700","낙원동","265","종로3가"
"NODE","POINT(127.01587652552925 37.56544815210417)","8619","1","1114000000","중구","1114016300","흥인동","270","창신"
"NODE","POINT(126.97279432094167 37.5550080901334)","177923","1","1114000000","중구","1114012000","봉래동2가","284","서울역"
"NODE","POINT(126.97369434473515 37.55421646121922)","177915","1","1114000000","중구","1114011800","남대문로5가","284","서울역"
"NODE","POINT(127.00412931028019 37.56483815939277)","7702","1","1114000000","중구","1114014500","광희동1가","282","동대문역사문화공원"
"NODE","POINT(126.98592292236093 37.56079985130835)","6510","1","1114000000","중구","1114012500","충무로2가","276","명동"
"NODE","POINT(126.98583950872523 37.56103327158506)","6504","1","1114000000","중구","1114012500","충무로2가","276","명동"
"NODE","POINT(127.0643303135185 37.561511880458575)","211645","0","1120000000","성동구","1120012200","용답동","185","장한평"
"NODE","POINT(127.07137678955013 37.54087317738907)","212218","1","1121500000","광진구","1121510700","화양동","79","건대입구"
"NODE","POINT(127.0238411466907 37.57549768720393)","40679","1","1123000000","동대문구","1123010100","신설동","119","신설동"
"NODE","POINT(127.05303295998266 37.5666277839359)","212481","0","1123000000","동대문구","1123010500","답십리동","178","답십리"
"NODE","POINT(127.06441778107049 37.64553662684671)","61589","1","1135000000","노원구","1135010600","중계동","97","중계"
"NODE","POINT(127.06495587823831 37.61479288225255)","211761","0","1135000000","노원구","1135010200","월계동","191","석계"
"NODE","POINT(127.05871905058927 37.63171331141819)","40313","1","1135000000","노원구","1135010200","월계동","96","월계"
"NODE","POINT(127.05849677148956 37.634480222596935)","40376","1","1135000000","노원구","1135010200","월계동","96","월계"
"NODE","POINT(127.05552563766364 37.67797088971149)","127598","1","1135000000","노원구","1135010500","상계동","105","수락산"
"NODE","POINT(127.05520102194966 37.67898026438009)","127602","1","1135000000","노원구","1135010500","상계동","105","수락산"
"NODE","POINT(127.06275633467037 37.656289440954396)","213333","1","1135000000","노원구","1135010500","상계동","102","노원"
"NODE","POINT(127.06282271528931 37.65609169935713)","213332","1","1135000000","노원구","1135010500","상계동","102","노원"
"NODE","POINT(127.05554366087564 37.67897323805541)","127601","1","1135000000","노원구","1135010500","상계동","105","수락산"
"NODE","POINT(127.05184568575471 37.64333089086606)","121252","1","1135000000","노원구","1135010200","월계동","107","녹천"
"NODE","POINT(127.0590201731977 37.634063454381206)","40380","1","1135000000","노원구","1135010200","월계동","96","월계"
"NODE","POINT(127.05518588266852 37.67797791463413)","127596","1","1135000000","노원구","1135010500","상계동","105","수락산"
"NODE","POINT(126.90231487031684 37.57741803156539)","99421","1","1138000000","은평구","1138011000","증산동","136","디지털미디어시티"
"NODE","POINT(126.90033262948593 37.57547519218645)","212532","1","1144000000","마포구","1144012700","상암동","136","디지털미디어시티"
"NODE","POINT(126.94230109861657 37.54784118843646)","74503","1","1144000000","마포구","1144010800","대흥동","139","대흥(서강대앞)"
"NODE","POINT(126.90335518172229 37.5627018526103)","211749","1","1144000000","마포구","1144012500","성산동","140","마포구청"
"NODE","POINT(126.92268955643571 37.54765868265542)","181314","1","1144000000","마포구","1144011500","상수동","137","상수"
"NODE","POINT(126.92269413816959 37.54786083970971)","181312","1","1144000000","마포구","1144011500","상수동","137","상수"
"NODE","POINT(126.91430336776767 37.54951918342327)","138652","1","1144000000","마포구","1144012200","합정동","135","합정"
"NODE","POINT(126.8468185360649 37.53189005544526)","182961","1","1150000000","강서구","1150010300","화곡동","61","까치산"
"NODE","POINT(126.88596573303785 37.48490666845506)","101238","1","1153000000","구로구","1153010300","가리봉동","88","남구로"
"NODE","POINT(126.88605364125672 37.484764429830655)","211394","0","1153000000","구로구","1153010300","가리봉동","88","남구로"
"NODE","POINT(126.88866248690282 37.4874858425667)","18696","1","1153000000","구로구","1153010200","구로동","88","남구로"
"NODE","POINT(126.82345338276 37.4924826114421)","154348","1","1153000000","구로구","1153011000","온수동","87","온수(성공회대입구)"
"NODE","POINT(126.88932471720747 37.4660011104641)","211979","1","1154500000","금천구","1154510100","가산동","91","금천구청"
"NODE","POINT(126.8960828741505 37.52451406837861)","214896","1","1156000000","영등포구","1156011300","당산동3가","232","영등포구청"
"NODE","POINT(126.98263119503251 37.48522672159108)","120370","1","1165000000","서초구","1165010100","방배동","122","이수"
"NODE","POINT(127.02748750839716 37.49883559708308)","104255","1","1168000000","강남구","1168010100","역삼동","169","강남"
"NODE","POINT(127.08493968575138 37.48365867102188)","202490","1","1168000000","강남구","1168011400","일원동","19","일원"
"NODE","POINT(127.08508924242753 37.48385309111214)","202492","1","1168000000","강남구","1168011400","일원동","19","일원"
"NODE","POINT(127.08349207345061 37.48401662304801)","202611","1","1168000000","강남구","1168011400","일원동","19","일원"
"NODE","POINT(127.0834120964024 37.484408023478444)","202612","1","1168000000","강남구","1168011400","일원동","19","일원"
"NODE","POINT(127.0558155601628 37.49130946480469)","204890","1","1168000000","강남구","1168010600","대치동","17","도곡"
"NODE","POINT(127.05485022249802 37.49090255347246)","204893","1","1168000000","강남구","1168011800","도곡동","17","도곡"
"NODE","POINT(127.05501648356581 37.490463072855675)","204923","1","1168000000","강남구","1168011800","도곡동","17","도곡"
"NODE","POINT(127.05272562200159 37.49608939281134)","16189","1","1168000000","강남구","1168011800","도곡동","6","한티"
"NODE","POINT(127.06424671613148 37.4946390374586)","18333","1","1168000000","강남구","1168010600","대치동","23","대치"
"NODE","POINT(127.0617243678387 37.494037919508386)","18343","1","1168000000","강남구","1168010600","대치동","23","대치"
"NODE","POINT(127.0725864427452 37.4911063992297)","204357","1","1168000000","강남구","1168010300","개포동","5","대모산입구"
"NODE","POINT(127.07244317202905 37.49145434805537)","204339","1","1168000000","강남구","1168010300","개포동","5","대모산입구"
"NODE","POINT(127.07919737008648 37.49400010041536)","202885","1","1168000000","강남구","1168010300","개포동","8","대청"
"NODE","POINT(127.10106225754004 37.487533628769036)","202320","1","1168000000","강남구","1168011500","수서동","10","수서"
"NODE","POINT(127.10080346437243 37.487300416785914)","202321","1","1168000000","강남구","1168011500","수서동","10","수서"
"NODE","POINT(127.06264635890945 37.49403743419684)","18350","1","1168000000","강남구","1168010600","대치동","23","대치"
"NODE","POINT(127.0796438004718 37.493808133618906)","202971","1","1168000000","강남구","1168011400","일원동","8","대청"
"NODE","POINT(127.05256889247224 37.49633376609361)","15271","1","1168000000","강남구","1168010100","역삼동","6","한티"
"NODE","POINT(127.07981281188945 37.49338463642731)","202966","1","1168000000","강남구","1168011400","일원동","8","대청"
"NODE","POINT(127.06526375831818 37.494935992423684)","23812","1","1168000000","강남구","1168010600","대치동","23","대치"
"NODE","POINT(127.07996535431397 37.49367975719071)","202961","1","1168000000","강남구","1168011400","일원동","8","대청"
"NODE","POINT(127.15220891949295 37.49470309241651)","108397","1","1171000000","송파구","1171011400","마천동","219","마천"
"NODE","POINT(127.13503399427564 37.49819246830591)","114698","1","1171000000","송파구","1171011200","오금동","217","개롱"
"NODE","POINT(127.1532273698744 37.49551879010833)","196886","1","1171000000","송파구","1171011400","마천동","219","마천"
"NODE","POINT(127.11326448370943 37.517709119670556)","110611","1","1171000000","송파구","1171011100","방이동","209","몽촌토성(평화의문)"
"NODE","POINT(127.13120675007835 37.516040328917775)","198630","1","1171000000","송파구","1171011100","방이동","204","올림픽공원(한국체대)"
"NODE","POINT(127.12050307295738 37.53106649864566)","198658","1","1171000000","송파구","1171010300","풍납동","33","강동구청"
"NODE","POINT(127.12652310857835 37.4714482540519)","198727","1","1171000000","송파구","1171010900","장지동","198","복정"
"NODE","POINT(127.11271174664988 37.51793850317135)","110204","1","1171000000","송파구","1171010200","신천동","209","몽촌토성(평화의문)"
